Year,Date,AAuthors,Me,CoAuthors,Title,Jounal,others,category,imgpath,href,abstract,pdf,citation,code,type,featured
2021,2021-12,Tsuboi K| You QS| ,Guo Y,| Wang J| Flaxel CJ| Bailey ST| Huang D| Jia Y| Hwang TS.,Association between fluid volume in inner nuclear layer and visual acuity in diabetic macular edema.,American Journal of Ophthalmology,. 2021 Dec 21.,Clinical,https://ars.els-cdn.com/content/image/1-s2.0-S0002939421006498-gr1_lrg.jpg,https://doi.org/10.1016/j.ajo.2021.12.012,#,https://doi.org/10.1016/j.ajo.2021.12.012,Tsuboi K| You QS| Guo Y| Wang J| Flaxel CJ| Bailey ST| Huang D| Jia Y| Hwang TS. Association between fluid volume in inner nuclear layer and visual acuity in diabetic macular edema. American Journal of Ophthalmology. 2021 Dec 21.,#,paper,0
2021,2021-11,Gao M|  Hormel TT| Wang J|, Guo Y,| Bailey ST| Hwang TS| Jia Y.,An Open-Source Deep Learning Network for Reconstruction of High-Resolution OCT Angiograms of Retinal Intermediate and Deep Capillary Plexuses.,Translational vision science & technology,. 2021;10(13):13. doi: https://doi.org/10.1167/tvst.10.13.13.,Algorithm,data/PaperFigures/DCARNet.png,https://www.researchgate.net/publication/356110141_An_Open-Source_Deep_Learning_Network_for_Reconstruction_of_High-Resolution_OCT_Angiograms_of_Retinal_Intermediate_and_Deep_Capillary_Plexuses,We propose a deep learning-based image reconstruction algorithm to produce high-resolution optical coherence tomographic angiograms (OCTA) of the intermediate capillary plexus (ICP) and deep capillary plexus (DCP).,https://www.researchgate.net/publication/356110141_An_Open-Source_Deep_Learning_Network_for_Reconstruction_of_High-Resolution_OCT_Angiograms_of_Retinal_Intermediate_and_Deep_Capillary_Plexuses,Min Gao| Tristan T. Hormel| Jie Wang| Yukun Guo| Steven T. Bailey| Thomas S. Hwang| Yali Jia; An Open-Source Deep Learning Network for Reconstruction of High-Resolution OCT Angiograms of Retinal Intermediate and Deep Capillary Plexuses. Trans. Vis. Sci. Tech.2021;10(13):13. doi:https://doi.org/10.1167/tvst.10.13.13.,#,Paper,0
2021,2021-09,Xiong H| You QS| ,Guo Y,| Wang J| Wang B| Gao L| Flaxel CJ| Bailey ST| Hwang TS| Jia Y.,Deep learning-based signal-independent assessment of macular avascular area on 6×6 mm optical coherence tomography angiogram in diabetic retinopathy: a comparison to instrument-embedded software,British Journal of Ophthalmology,.2021 Sep 13:bjophthalmol-2020-318646.,Clinical,https://bjo.bmj.com/content/bjophthalmol/early/2021/09/12/bjophthalmol-2020-318646/F1.large.jpg,https://bjo.bmj.com/content/early/2021/09/12/bjophthalmol-2020-318646,A deep-learning-based macular extrafoveal avascular area (EAA) on a 6×6 mm optical coherence tomography (OCT) angiogram is less dependent on the signal strength and shadow artefacts| providing better diagnostic accuracy for diabetic retinopathy (DR) severity than the commercial software measured extrafoveal vessel density (EVD).,https://bjo.bmj.com/content/early/2021/09/12/bjophthalmol-2020-318646,Xiong H| You QS| Guo Y| Wang J| Wang B| Gao L| Flaxel CJ| Bailey ST| Hwang TS| Jia Y. Deep learning-based signal-independent assessment of macular avascular area on 6×6 mm optical coherence tomography angiogram in diabetic retinopathy: a comparison to instrument-embedded software. Br J Ophthalmol. 2021 Sep 13:bjophthalmol-2020-318646. doi: 10.1136/bjophthalmol-2020-318646. Epub ahead of print. PMID: 34518161.,#,paper,0
2021,2021-08,Liu K| ,Guo Y,| You QS| Hormel TT| Hwang TS| Jia Y.,Normative intercapillary distance and vessel density data in the temporal retina assessed by wide-field spectral-domain optical coherence tomography angiography.,Experimental biology and medicine (Maywood| NJ),. 2021; 15353702211036700,Clinical,data/PaperFigures/NormaltiveID_VD.png,https://journals.sagepub.com/doi/10.1177/15353702211036704,A limitation of conventional optical coherence tomography angiography (OCTA) is the limited field of view normally used in data acquisition. As the technology improves| larger fields of view that capture information away from the macular are being explored in order to provide an enhanced ability to detect pathology. However| normative measurements for important OCTA metrics like vessel density and intercapillary distance are not currently well-characterized in the peripheral retina. In this prospective study| we measured vessel density and intercapillary distance of the superficial vascular complex| ganglion cell layer plexus| and deep capillary plexus in montaged macular/temporal scans from 53 (33 men) healthy volunteers. Vessel density and intercapillary distance were also compared across different regions of the retina| including along arcs at separate distance from the fovea. Compared to the central macular region| the temporal retina had significantly lower vessel density| decreased thickness| and greater intercapillary distance in the superficial vascular complex| GCLP ganglion cell layer plexus| and deep capillary plexus (Wilcoxon rank sum test P?<?0.001)| with each of the plexuses examined here showing a general decrease in vessel density and an increase in intercapillary distance towards the temporal region. No significant difference was noted comparing corresponding vessel density and intercapillary distance regions above and below the macula| and multiple linear regression showed that age and intraocular pressure were not associated with vessel density and intercapillary distance in most models. Repeatability analysis reported as intraclass correlation coefficients demonstrated moderate to excellent reliability of vessel density and intercapillary distance in all OCTA layers. These results should help provide an enhanced baseline to help identify vascular pathology in the peripheral retina.,https://journals.sagepub.com/doi/10.1177/15353702211036704,Liu K| Guo Y| You Q| Hormel T| Hwang TS| Jia Y. Normative intercapillary distance and vessel density data in the temporal retina assessed by wide-field spectral-domain optical coherence tomography angiography. Experimental Biology and Medicine. August 2021. doi:10.1177/15353702211036704,#,paper,0
2021,2021-07,NaN,Guo Y,| Hormel TT| Pi S| Wei X| Gao M| Morrison JC| Jia Y.,An end-to-end network for segmenting the vasculature of three retinal capillary plexuses from OCT angiographic volumes.,Biomedical Optics Express,. 2021 July 16;12:4889-4900.,Algorithm,https://www.researchgate.net/profile/Yukun-Guo-4/publication/353062327/figure/fig1/AS:1046265550884866@1626460554773/The-architecture-of-the-proposed-method-A-Structural-OCT-data-volume-B-OCTA-data_W640.jpg,https://www.researchgate.net/publication/353062327_An_end-to-end_network_for_segmenting_the_vasculature_of_three_retinal_capillary_plexuses_from_OCT_angiographic_volumes?uploadChannel=invalid,The segmentation ofÂ en faceÂ retinal capillary angiograms from volumetric optical coherence tomographic angiography (OCTA) usually relies on retinal layer segmentation| which is time-consuming and error-prone. In this study| we developed a deep-learning-based method to segment vessels in the superficial vascular plexus (SVP)| intermediate capillary plexus (ICP)| and deep capillary plexus (DCP) directly from volumetric OCTA data. The method contains a three-dimensional convolutional neural network (CNN) for extracting distinct retinal layers| a custom projection module to generate three vascular plexuses from OCTA data| and three parallel CNNs to segment vasculature. Experimental results on OCTA data from rat eyes demonstrated the feasibility of the proposed method. This end-to-end network has the potential to simplify OCTA data processing on retinal vasculature segmentation. The main contribution of this study is that we propose a custom projection module to connect retinal layer segmentation and vasculature segmentation modules and automatically convert data from three to two dimensions| thus establishing an end-to-end method to segment three retinal capillary plexuses from volumetric OCTA without any human intervention.,https://www.researchgate.net/publication/353062327_An_end-to-end_network_for_segmenting_the_vasculature_of_three_retinal_capillary_plexuses_from_OCT_angiographic_volumes?uploadChannel=invalid,Yukun Guo| Tristan T. Hormel| Shaohua Pi| Xiang Wei| Min Gao| John C. Morrison| and Yali Jia| An end-to-end network for segmenting the vasculature of three retinal capillary plexuses from OCT angiographic volumes| Biomed. Opt. ExpressÂ 12| 4889-4900 (2021),#,paper,0
2021,2021-05,NaN,Guo Y,| Hormel TT| Gao L| You QS| Wang B| Flaxel CJ| Bailey ST| Choi D| Huang D| Hwang TS| Jia Y.,Quantification of nonperfusion area in montaged wide-field optical coherence tomography angiography using deep learning in diabetic retinopathy.,Ophthalmology Science,. 2021 May 12:100027.,Biomarker,assets/img/paperimgs/npa_wfoct.jpg,https://doi.org/10.1016/j.xops.2021.100027,To examine the efficacy of a deep-learning-based algorithm to quantify the nonperfusion area (NPA) on montaged wide-field OCTA for assessment of DR severity,https://doi.org/10.1016/j.xops.2021.100027,Guo Y| Hormel TT| Gao L| You QS| Wang B| Flaxel CJ| Bailey ST| Choi D| Huang D| Hwang TS| Jia Y. Quantification of nonperfusion area in montaged wide-field optical coherence tomography angiography using deep learning in diabetic retinopathy. Ophthalmology Science. 2021 May 12:100027.,#,paper,0
2021,2021-05,You QS| Tsuboi K| ,Guo Y,| Wang J| Flaxel CJ| Bailey ST| Huang D| Jia Y| Hwang TS.,Comparison of Central Macular Fluid Volume with Central Subfield Thickness in Patients with Diabetic Macular Edema Using Optical Coherence Tomography Angiography.,JAMA ophthalmology,. 2021 May 13.,Clinical,assets/img/paperimgs/compare_Fluid_with_CMT.jpg,https://jamanetwork.com/journals/jamaophthalmology/article-abstract/2779909?casa_token=uakwzv3qjw4AAAAA:eCsqRYbgSO3GW72FXgvIsP-OBSPIVZCL_LWijkrvBKcPA_sX9z_gVTAsUqiaZ3IpoYeAaK3ZTdA,Diabetic macular edema (DME) is the predominant cause of visual impairment in patients with type 1 or 2 diabetes. Automated fluid volume measurements using optical coherence tomography (OCT) may improve the diagnostic accuracy of DME screening.,https://jamanetwork.com/journals/jamaophthalmology/article-abstract/2779909?casa_token=uakwzv3qjw4AAAAA:eCsqRYbgSO3GW72FXgvIsP-OBSPIVZCL_LWijkrvBKcPA_sX9z_gVTAsUqiaZ3IpoYeAaK3ZTdA,You QSS| Tsuboi K| Guo Y| Wang J| Flaxel CJ| Bailey ST| Huang D| Jia Y| Hwang TS. Comparison of Central Macular Fluid Volume With Central Subfield Thickness in Patients With Diabetic Macular Edema Using Optical Coherence Tomography Angiography. JAMA ophthalmology. 2021 May 13.,#,paper,0
2021,2021-02,Jia Y| ,Guo Y,. ,Identifying retinal layer boundaries.,US Patent App,. 16/998|931| 2021,Algorithm,#,https://patents.google.com/patent/US20210052155A1/en,Methods for automatically identifying retinal boundaries from a reflectance image are disclosed. An example of the method includes identifying a reflectance image of the retina of a subject; generating a gradient map of the reflectance image| the gradient map representing dark-to-light or light-to-dark reflectance differentials between adjacent pixel pairs in the reflectance image; generating a guidance point array corresponding to a retinal layer boundary depicted in the reflectance image using the gradient map; generating multiple candidate paths estimating the retinal layer boundary in the reflectance image by performing a guided bidirectional graph search on the reflectance image using the guidance point array; and identifying the retinal layer boundary by merging two or more of the multiple candidate paths.,https://patents.google.com/patent/US20210052155A1/en,#,#,patent,0
2020,2020-12,Gao L| Wang J| You QS| ,Guo Y,| Flaxel CJ| Hwang TS| Huang D| Jia Y| Bailey ST.,Plexus-specific retinal capillary avascular area in exudative age-related macular degeneration with projection-resolved OCT angiography.,British Journal of Ophthalmology,. 2020 Dec 21.,Clinical,assets/img/paperimgs/NPA_in_AMD.jpg,http://dx.doi.org/10.1136/bjophthalmol-2020-317562,To detect the plexus-specific retinal capillary avascular area in exudative age-related macular degeneration (EAMD) with projection-resolved optical coherence tomography angiography (PR-OCTA).,http://dx.doi.org/10.1136/bjophthalmol-2020-317562,Gao L| Wang J| You QS| Guo Y| Flaxel CJ| Hwang TS| Huang D| Jia Y| Bailey ST. Plexus-specific retinal capillary avascular area in exudative age-related macular degeneration with projection-resolved OCT angiography. British Journal of Ophthalmology. 2020 Dec 21.,#,paper,0
2020,2020-10,Jia Y| ,Guo Y,. ,Detecting avascular areas using neural networks.,US Patent App,. 16/858|384| 2020,Algorithm,#,https://patents.google.com/patent/US20200342595A1/en,An example method includes generating| using a multi-scale block of a convolutional neural network (CNN)| a first output image based on an optical coherence tomography (OCT) reflectance image of a retina and an OCT angiography (OCTA) image of the retina. The method further includes generating| using an encoder of the CNN| at least one second output image based on the first output image and generating| using a decoder of the CNN| a third output image based on the at least one second output image. An avascular map is generated based on the third output image. The avascular map indicates at least one avascular area of the retina depicted in the OCTA image.,https://patents.google.com/patent/US20200342595A1/en,#,#,patent,0
